Episodes,B2,S3,B3,B1,S2,S1,episode_len
2352,7.48,9.18,9.45125,7.9675,8.445625,7.075625,18.43
2369,7.641875,9.681875,9.49125,8.85375,9.319375,7.211875,14.88
2375,7.64,9.661875,9.6175,8.865,9.44125,7.174375,14.51
2376,7.536875,9.661875,9.58,8.865,9.344375,7.211875,14.56
2379,7.4675,9.61,9.643125,8.919375,9.206875,7.353125,14.51
2392,7.711875,9.613125,9.51375,8.75875,9.065,7.7375,13.94
2399,7.810625,9.55125,9.748125,8.775,9.005,7.91,13.28
2400,7.7075,9.5375,9.760625,8.78875,8.9925,7.813125,13.55
2404,7.604375,9.503125,9.810625,8.73125,8.9425,7.808125,13.85
2408,7.604375,9.475625,9.860625,8.63875,8.8925,7.728125,14.28
2423,8.183125,9.49625,9.9975,9.229375,9.38,8.31375,11.26
2436,9.3425,9.529375,9.9625,9.46375,9.700625,9.20125,8.06
2437,9.360625,9.52375,10.065625,9.469375,9.700625,9.28,7.95
2440,9.22875,9.525,10.045,9.458125,9.73125,9.211875,8.29
2442,9.198125,9.35,10.25125,9.4525,9.73125,9.416875,8.19
2443,9.198125,9.2475,10.25125,9.458125,9.73125,9.51375,8.19
2445,9.0625,9.0425,10.256875,9.4625,9.6675,9.508125,8.44
2446,9.000625,8.958125,10.23875,9.55875,9.633125,9.610625,8.44
2448,8.850625,8.965,10.21125,9.6425,9.6675,9.663125,8.52
2449,8.971875,8.971875,10.204375,9.6425,9.6675,9.741875,8.52
2452,8.955,8.9925,10.18375,9.635625,9.674375,9.75875,8.39
2454,8.86,8.97875,10.214375,9.633125,9.676875,9.636875,8.76
2456,8.735,8.974375,10.2075,9.67,9.62625,9.586875,9.13
2457,8.644375,8.96875,10.2075,9.66875,9.620625,9.49,9.41
2460,8.56625,8.951875,10.2075,9.665,9.60375,9.405625,9.89
2476,8.97375,8.979375,10.21875,9.580625,9.809375,9.238125,9.34
2486,8.979375,8.975625,10.270625,9.641875,9.913125,9.019375,9.05
2506,9.2625,8.994375,10.2275,9.87125,9.954375,9.09,7.57
2508,9.171875,8.903125,10.2275,9.876875,9.941875,9.07875,7.86
2514,9.13125,8.835,10.28125,9.910625,9.89375,8.948125,8.2
2531,9.205625,8.898125,10.26625,10.034375,9.784375,8.81125,8.2
2540,9.36375,8.93375,10.245625,10.068125,9.784375,8.804375,7.73
2561,10.63375,9.351875,10.120625,10.029375,9.87875,9.385625,3.3
2581,10.725625,9.456875,10.05625,10.18,9.798125,9.383125,2.97
2591,10.725625,9.466875,10.025625,10.201875,9.7775,9.4025,3.15
2598,10.716875,9.484375,10.008125,10.15375,9.825625,9.21125,3.43
2614,11.179375,9.699375,9.921875,10.060625,9.975625,8.963125,2.8
2625,11.190625,9.658125,9.95875,9.995625,10.00375,8.793125,2.9
2643,11.18125,9.38,10.294375,10.130625,9.859375,8.754375,2.45
2665,11.100625,9.18375,10.76,10.24875,9.70375,8.603125,2.65
2693,11.158125,8.87625,11.11125,10.278125,9.51125,8.865,1.99
2713,10.803125,8.70375,11.161875,10.393125,9.380625,9.3575,1.98
2733,10.79,8.7775,10.970625,10.370625,9.490625,9.600625,1.87
2753,10.82375,8.926875,10.745625,10.248125,9.53375,9.721875,1.79
2782,10.945,9.07375,10.396875,10.264375,9.598125,9.721875,1.7
2793,10.95875,9.0975,10.318125,10.264375,9.64625,9.715,1.95
2823,10.894375,9.130625,10.3125,10.264375,9.628125,9.77,1.71
