0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 7.722000000000001307e+00
1.600000000000000089e+00 0.000000000000000000e+00 6.304000000000000270e+00
1.631200000000000117e+01 5.400000000000000355e+00 1.042600000000000193e+01
2.800000000000000266e+00 1.897600000000000264e+01 2.793004640000000194e+01
1.200000000000000178e+00 1.109520000000000017e+01 2.718314667831200637e+01
2.613050815257600590e+01 5.234567373370462917e+01 3.508537574426800631e+01
3.033209860533125735e+01 6.655116870357154824e+01 6.505298615505836324e+01
3.947290664109745251e+01 1.001051759772507950e+02 1.622798957276965837e+02
5.102988908158654624e+01 1.624952603117788783e+02 2.610078344349233817e+02
2.141575631680000669e+01 1.504124839424862046e+02 8.974882006273521995e+01
5.905770398820514799e+01 1.555501474321264652e+02 1.358004694810396700e+02
9.687176043439606588e+01 1.744012608954944881e+02 2.211675353560483472e+02
1.888775037884089443e+02 2.623142003624580525e+02 2.384264932047029220e+02
2.865102900601363558e+02 2.436043436107649711e+02 3.267321995002332642e+02
8.453506028315108267e+01 2.070074167146316029e+02 8.169729615540350665e+01
1.670546639058900951e+02 1.595217126716443090e+02 1.398094187864200535e+02
2.123512849259184350e+02 1.466213117075067203e+02 2.030814333744656324e+02
2.656413452587951269e+02 2.034646869305807968e+02 2.471096242998877699e+02
3.063633319774223764e+02 2.517089989548030076e+02 1.565021351307139525e+02
