Episodes,S3,S1,B3,B2,B1,S2,episode_len
43,9.623546511627907,9.527616279069768,10.513081395348838,10.556686046511627,9.838662790697674,9.940406976744185,4.558139534883721
89,9.805477528089888,9.63061797752809,10.373595505617978,10.400280898876405,9.995786516853933,9.794241573033707,4.49438202247191
129,9.4575,9.67375,10.286875,10.5225,9.986875,10.0725,4.55
169,9.5475,9.30125,10.701875,10.500625,10.700625,9.248125,4.87
213,9.5275,9.18375,10.87625,10.255,10.90125,9.25625,4.67
264,9.97125,9.843125,10.1725,10.346875,9.985625,9.680625,4.13
310,10.165625,9.636875,10.39,10.226875,9.80375,9.776875,4.18
359,10.313125,9.654375,10.31375,9.871875,10.090625,9.75625,4.12
394,9.945625,9.936875,9.96,9.92625,10.085625,10.145625,4.76
437,9.77375,10.078125,9.85625,10.459375,9.90125,9.93125,4.92
480,8.6625,9.93,10.976875,10.413125,10.23125,9.78625,4.75
519,8.926875,10.1425,11.19875,10.345,10.0275,9.359375,4.92
566,9.541875,9.435,10.449375,10.891875,10.25125,9.430625,4.66
608,9.005,9.30875,10.033125,10.990625,10.359375,10.303125,4.54
657,8.551875,9.565,10.00875,11.279375,10.514375,10.080625,4.36
699,9.1975,9.726875,10.44625,11.041875,10.40875,9.17875,4.38
747,9.71625,9.965,10.268125,10.36375,10.106875,9.58,4.54
788,9.2775,9.928125,10.463125,10.564375,9.889375,9.8775,4.43
835,9.22375,9.95875,10.4225,10.96625,10.151875,9.276875,4.4
879,9.661875,10.323125,10.27625,10.74375,9.788125,9.206875,4.4
920,9.76375,10.50375,9.746875,10.47375,9.360625,10.15125,4.62
961,10.01,10.023125,10.20625,10.4575,9.305625,9.9975,4.86
998,10.21875,9.690625,10.459375,10.0225,9.613125,9.995625,5.04
1030,10.503125,9.581875,10.715625,9.86125,9.056875,10.28125,5.45
1075,10.370625,9.145,10.29625,9.974375,9.8575,10.35625,5.15
1114,9.8175,9.388125,10.15125,10.231875,10.160625,10.250625,5.06
1150,9.813125,9.806875,10.409375,10.03125,10.271875,9.6675,5.15
1191,9.428125,9.8025,10.78625,10.223125,10.36125,9.39875,5.19
1235,9.49,9.21375,10.873125,10.79375,10.56375,9.065625,4.88
1269,9.343125,9.3225,10.794375,10.761875,10.703125,9.075,4.83
1303,9.994375,9.29125,10.310625,10.925,10.3975,9.08125,5.34
1331,10.029375,9.885,10.08125,10.560625,10.173125,9.270625,6.27
1379,9.60375,9.71125,10.398125,10.49625,10.6925,9.098125,5.42
1425,9.641875,10.215625,10.415625,10.094375,10.5075,9.125,4.34
1463,9.693125,10.300625,10.52,10.270625,9.63375,9.581875,4.61
1499,9.614375,10.41,10.18875,10.11125,9.663125,10.0125,5.02
1540,9.616875,10.23,10.22875,10.181875,9.7325,10.01,5.26
1579,9.584375,9.88,10.44375,10.385,10.470625,9.23625,5.11
1614,9.72625,9.766875,10.1225,10.69,10.225,9.469375,5.35
