Episodes,S3,S1,B3,B2,B1,S2,episode_len
41,9.777439024390244,9.538109756097562,10.102134146341463,10.425304878048781,9.803353658536585,10.353658536585366,4.829268292682927
88,9.436789772727273,9.430397727272727,9.800426136363637,10.741477272727273,10.3203125,10.270596590909092,4.5227272727272725
135,9.339375,9.498125,10.001875,10.515625,10.39875,10.24625,4.35
177,10.125,9.614375,9.730625,10.28625,10.47125,9.7725,4.45
226,9.649375,9.456875,10.145,10.746875,10.633125,9.36875,4.39
274,9.163125,9.4325,10.840625,10.941875,10.5475,9.074375,4.15
318,9.198125,9.58125,11.0525,10.626875,10.3175,9.22375,4.2
363,9.24875,9.324375,10.839375,10.8525,10.300625,9.434375,4.48
409,9.363125,9.3875,10.5575,10.5325,10.30875,9.850625,4.42
452,9.331875,9.785,10.391875,10.096875,10.2825,10.111875,4.36
501,9.8625,9.325,10.32625,10.288125,10.330625,9.8675,4.32
545,10.403125,9.385625,9.8175,10.50875,9.793125,10.091875,4.24
580,9.76875,9.27875,10.476875,10.72375,10.285,9.466875,4.78
625,9.89375,10.045625,10.7925,9.86,10.0875,9.320625,4.82
667,9.908125,10.133125,10.45,10.06,10.1375,9.31125,4.62
713,9.803125,10.1425,9.948125,10.035,10.679375,9.391875,4.53
758,9.889375,10.2325,9.749375,9.9,10.250625,9.978125,4.4
805,10.164375,10.235,9.7325,9.38875,10.225625,10.25375,4.26
846,10.585625,10.505625,9.42625,9.16625,9.871875,10.444375,4.57
885,10.515,10.196875,10.014375,9.6575,9.89,9.72625,4.82
927,10.0225,10.12125,10.0575,10.38,9.896875,9.521875,4.82
975,9.5625,9.664375,10.42875,10.539375,10.19875,9.60625,4.57
1015,9.49375,9.543125,10.27875,10.21,10.91375,9.560625,4.42
1058,9.46125,9.581875,10.228125,10.646875,11.125,8.956875,4.59
1100,9.539375,9.985,10.015625,10.866875,10.161875,9.43125,4.84
1146,9.479375,9.828125,9.924375,10.376875,10.145625,10.245625,4.58
1186,9.198125,9.430625,10.71875,10.550625,10.145625,9.95625,4.65
1230,9.02125,9.5175,11.261875,10.709375,10.12375,9.36625,4.84
1273,9.48375,10.093125,9.798125,10.43375,10.04125,10.15,4.73
1314,9.71125,9.96875,10.245625,9.965,9.97625,10.133125,4.77
1355,9.356875,9.660625,10.3675,10.714375,9.83875,10.061875,4.81
1396,9.678125,9.775,10.18125,10.225,9.890625,10.25,4.78
1434,9.6075,10.33625,9.803125,10.50625,9.928125,9.81875,4.95
1472,9.875625,10.218125,9.7775,10.35875,10.168125,9.601875,5.07
1509,9.806875,10.156875,9.579375,10.815,10.24875,9.393125,5.35
1545,9.84375,9.5725,9.35375,11.01125,10.468125,9.750625,5.64
1596,9.694375,9.156875,9.709375,10.644375,10.63625,10.15875,4.8
1641,9.746875,8.971875,10.5475,10.61625,10.2075,9.91,4.14
1680,9.92125,9.2625,10.7275,10.461875,9.904375,9.7225,4.61
1714,9.683125,9.093125,11.094375,10.865,9.95625,9.308125,5.3
1753,9.4725,9.8375,10.4675,10.99875,9.61875,9.605,5.52
1791,9.255625,9.76625,10.641875,11.229375,9.650625,9.45625,5.2
1828,9.669375,9.641875,10.6375,10.63125,9.635,9.785,5.12
1868,9.584375,9.445,10.22375,10.543125,10.151875,10.051875,5.04
1905,9.225625,9.63625,10.256875,10.36,10.34875,10.1725,5.36
1939,9.533125,9.843125,10.41375,9.9125,10.45625,9.84125,5.46
1973,9.555,9.6575,10.650625,9.9975,10.761875,9.3775,5.67
2012,9.480625,9.809375,10.479375,10.4575,10.394375,9.37875,5.43
2044,9.825625,9.48625,10.42625,10.765,10.4675,9.029375,5.79
2078,10.146875,9.061875,10.58375,10.82875,10.146875,9.231875,5.56
2113,10.50875,9.2825,10.27875,10.393125,10.15,9.386875,5.98
2152,9.58125,9.379375,10.501875,10.943125,10.435,9.159375,5.52
2185,8.945,9.68,10.6525,10.88125,10.466875,9.374375,5.79
2211,8.793125,9.4125,10.690625,10.636875,11.080625,9.18625,6.1
2241,8.78875,9.54625,10.558125,10.708125,10.89375,9.305,6.57
2269,8.940625,9.329375,10.504375,10.438125,11.11625,9.47125,6.91
2299,8.97375,9.245625,10.678125,10.2425,11.26375,9.39625,7.08
2326,9.055625,9.368125,10.7875,10.436875,10.64875,9.703125,7.02
2361,9.380625,9.3475,10.763125,10.1925,10.65,9.66625,6.48
2393,9.33375,9.695,10.344375,10.2475,10.67375,9.705625,6.46
2420,9.295,9.610625,10.274375,10.454375,10.90625,9.459375,6.45
2449,8.97,9.54625,10.29125,10.355625,11.0375,9.799375,6.72
2471,9.049375,9.503125,10.3675,10.375625,10.913125,9.79125,7.43
2504,9.463125,9.334375,10.484375,10.6,10.351875,9.76625,7.15
2526,9.13,9.200625,10.556875,10.5575,10.54125,10.01375,7.51
2551,9.25625,9.0175,10.775,10.626875,10.539375,9.785,7.85
2580,8.63625,8.815,10.854375,10.89875,11.18625,9.609375,7.45
2605,8.550625,9.3125,10.4325,10.774375,11.260625,9.669375,7.89
2628,8.529375,9.22125,10.635625,10.876875,11.495625,9.24125,7.76
2659,9.578125,9.48125,10.418125,10.3325,10.835,9.355,7.4
2679,9.42,9.1575,10.585625,10.61375,10.8475,9.375625,7.98
2704,9.445,8.915,10.878125,10.585,11.041875,9.135,8.07
2730,9.4225,8.901875,10.91875,10.598125,11.001875,9.156875,7.78
2757,8.969375,8.998125,10.918125,11.149375,10.920625,9.044375,8.24
2781,9.155625,9.118125,10.95875,11.025,10.82125,8.92125,7.77
2803,9.11875,9.079375,10.908125,10.88875,10.673125,9.131875,8.12
2827,9.435625,9.0425,10.611875,10.9525,10.605625,9.151875,8.43
2848,9.246875,8.76625,10.52125,10.726875,11.275,9.26375,8.58
2874,9.0025,8.921875,10.27875,10.751875,10.78625,9.85875,8.58
2892,8.945,9.004375,10.366875,10.900625,10.539375,9.64375,9.32
2916,8.67,9.1,10.835,10.74625,10.605,9.64375,8.91
2936,8.58625,9.205625,10.918125,10.830625,10.32875,9.730625,9.49
2959,8.545,8.971875,11.370625,11.045625,10.271875,9.395,9.06
2983,8.578125,9.385,11.49375,10.689375,10.47375,8.98,9.2
3002,8.974375,9.02125,11.50375,10.373125,10.516875,9.210625,9.01
3022,8.746875,9.268125,11.33375,10.31,10.59125,9.15,9.41
3043,8.710625,9.286875,11.080625,10.29125,10.63,9.200625,9.25
3056,8.713125,9.345625,10.83375,10.261875,10.564375,9.28125,10.33
3075,8.61625,9.18625,10.889375,10.429375,10.526875,9.151875,10.32
3095,8.676875,9.178125,10.71375,10.355,10.5425,9.33375,10.73
3114,8.79875,9.036875,10.803125,10.488125,10.365625,9.3075,10.79
3136,9.1875,8.935625,10.896875,10.2625,10.220625,9.496875,10.61
3153,9.2725,8.58875,11.175,10.300625,10.8625,9.200625,10.17
3175,9.436875,8.39875,11.214375,10.33625,11.06875,9.145,9.95
3194,9.394375,8.575,11.24,10.55625,10.82375,9.010625,10.12
3209,9.643125,8.858125,11.058125,10.4275,10.691875,9.12125,10.27
3227,9.261875,8.860625,10.963125,10.755,10.69,9.269375,10.79
3246,9.2,9.26125,10.896875,10.4925,10.356875,9.3925,11.1
3269,9.238125,9.303125,10.83375,10.325,10.41,9.49,10.59
3285,9.413125,9.296875,10.474375,10.335,10.38875,9.691875,10.87
