Episodes,S3,S1,B3,B2,B1,S2,episode_len
50,9.8325,10.10625,10.59625,9.605,10.31625,9.54375,3.96
89,9.624297752808989,10.1313202247191,10.4438202247191,10.1186797752809,10.356741573033707,9.325140449438202,4.49438202247191
138,9.37625,10.4025,10.354375,10.24,10.716875,8.91,4.46
184,9.6325,10.208125,10.076875,10.63875,10.645625,8.798125,4.2
226,9.744375,10.18,9.969375,10.35625,10.353125,9.396875,4.51
264,9.775625,10.204375,10.121875,10.215,10.065625,9.6175,4.99
313,9.393125,10.13875,10.26875,10.320625,10.18875,9.69,4.53
358,9.3025,10.19875,10.273125,10.449375,9.82375,9.9525,4.26
407,9.71875,9.986875,10.585625,10.305625,9.535,9.868125,4.16
452,9.4675,9.894375,10.650625,10.27875,10.11,9.59875,4.3
489,9.378125,10.12125,10.541875,9.755625,10.23,9.973125,4.8
538,9.8875,10.43,10.174375,9.711875,10.17875,9.6175,4.56
585,9.9525,9.879375,10.010625,10.35,10.475,9.3325,4.14
631,10.16375,9.053125,10.304375,11.105625,10.455625,8.9175,4.23
674,10.265,9.43875,10.1175,10.9725,10.065,9.14125,4.49
720,9.525625,9.686875,10.325,9.963125,10.251875,10.2475,4.47
770,9.766875,10.59125,10.645,9.5125,9.07875,10.405625,4.26
812,9.896875,10.10625,10.575,10.223125,9.110625,10.088125,4.4
858,9.32,9.486875,10.255625,10.716875,10.42625,9.794375,4.41
899,9.5675,9.4175,10.2375,10.59875,10.525,9.65375,4.57
936,9.859375,9.561875,10.229375,10.515625,10.37125,9.4625,4.86
979,9.544375,10.243125,9.969375,9.793125,10.309375,10.140625,5.01
1019,9.440625,9.93875,10.175,10.03,10.420625,9.995,4.87
1060,9.37375,9.8875,10.35,10.585,10.24875,9.555,4.89
1101,9.43375,9.299375,10.6425,10.51,10.5175,9.596875,4.85
1141,9.623125,9.103125,10.765625,10.463125,10.171875,9.873125,4.87
1178,9.623125,9.55875,10.823125,10.561875,10.103125,9.33,5.1
1223,9.459375,9.629375,10.88875,10.689375,10.05125,9.281875,5.0
1262,10.006875,9.473125,10.146875,10.25125,10.4925,9.629375,4.86
1300,9.764375,9.67,10.43625,10.178125,9.740625,10.210625,5.01
1344,8.83125,10.00875,10.64875,10.501875,9.924375,10.085,4.85
1381,9.15,9.933125,10.35125,10.196875,10.18625,10.1825,5.11
1419,8.97125,9.725625,10.05125,10.715,10.3425,10.194375,5.21
1455,9.11125,9.84125,10.289375,10.271875,10.145625,10.340625,5.45
1496,9.365625,9.925625,10.23625,9.99625,10.275625,10.200625,5.15
1535,9.871875,9.666875,10.5675,9.5375,10.409375,9.946875,5.11
1580,9.770625,9.965,10.315625,9.980625,10.025625,9.9425,4.83
1619,10.034375,9.660625,10.245,9.81375,10.51375,9.7325,4.8
1655,10.1675,9.935625,9.964375,9.845625,10.3075,9.779375,5.11
1700,9.9375,9.761875,9.93875,10.57875,10.418125,9.365,4.85
1739,9.794375,9.594375,10.115625,10.825625,10.245625,9.424375,4.91
1781,9.269375,9.141875,10.456875,11.1575,10.326875,9.6475,4.9
1821,9.025625,8.88625,11.125,10.691875,10.224375,10.046875,4.89
1859,8.664375,8.953125,11.501875,10.605,10.715625,9.56,5.06
1896,8.8275,9.361875,10.933125,10.7325,10.589375,9.555625,5.24
1936,8.96375,9.308125,10.605,10.82,10.913125,9.39,5.35
1966,9.285,9.01625,10.531875,10.94125,10.684375,9.54125,5.67
2000,9.150625,9.12,10.721875,10.76375,10.84,9.40375,5.82
2037,9.57,8.9375,10.454375,10.826875,10.620625,9.590625,5.97
2069,9.318125,9.12125,10.579375,10.795,10.76875,9.4175,5.77
2101,9.123125,8.9175,10.79375,11.071875,10.703125,9.390625,5.82
2135,8.613125,8.78125,11.599375,11.22125,10.761875,9.023125,6.07
2171,9.30125,8.964375,11.15625,10.968125,10.540625,9.069375,5.89
2205,9.355625,8.925,11.123125,11.0925,10.531875,8.971875,5.77
2240,9.603125,9.31375,10.48625,11.295625,10.13125,9.17,5.73
2274,8.935,9.466875,10.469375,11.026875,10.3475,9.754375,5.86
2305,9.04125,9.599375,10.418125,10.848125,10.515,9.578125,6.01
2343,9.13,9.546875,10.50625,10.935625,10.29125,9.59,5.83
