Episodes,S3,S1,B3,B2,B1,S2,episode_len
41,9.44359756097561,9.097560975609756,10.820121951219512,10.629573170731707,10.3125,9.696646341463415,4.829268292682927
87,9.670258620689655,9.470545977011493,10.439655172413794,10.512931034482758,10.298132183908047,9.608477011494253,4.505747126436781
137,9.706875,9.29375,10.258125,10.663125,10.110625,9.9675,4.16
182,9.500625,9.035,10.40375,10.584375,10.339375,10.136875,4.31
229,9.684375,9.521875,9.844375,10.7425,10.30875,9.898125,4.39
272,9.44875,9.443125,10.313125,10.735625,10.169375,9.89,4.44
307,9.226875,9.43125,10.8975,11.110625,9.72625,9.6075,5.0
354,9.924375,9.806875,10.096875,10.531875,9.6725,9.9675,4.86
401,10.386875,9.615,9.545,10.5275,10.03375,9.891875,4.38
451,10.025,9.595625,10.05375,10.51125,10.326875,9.4875,4.14
499,9.40375,9.663125,10.98,10.39875,10.335,9.219375,4.05
541,9.408125,9.889375,10.546875,10.230625,10.02625,9.89875,4.24
586,9.3225,9.6725,10.280625,11.010625,10.315,9.39875,4.6
629,9.105625,9.8925,10.136875,10.8825,10.466875,9.515625,4.65
664,9.741875,10.024375,10.215625,10.02,10.229375,9.76875,5.07
708,9.7475,10.055625,9.903125,10.0125,10.01125,10.27,4.84
756,9.571875,9.7125,9.5075,10.48125,10.58875,10.138125,4.49
802,9.576875,10.125625,9.729375,10.1975,10.26875,10.101875,4.33
845,9.870625,10.45625,9.486875,10.048125,10.025,10.113125,4.56
887,9.626875,10.078125,9.655625,9.935625,10.545,10.15875,4.54
923,9.625,9.959375,9.5,10.315625,10.956875,9.643125,5.0
960,9.726875,9.74375,9.70375,10.533125,10.59125,9.70125,5.32
1003,9.81625,9.7425,9.62625,10.605,10.23125,9.97875,5.13
1048,9.93375,9.77375,9.735,10.5,9.6225,10.435,4.69
1092,10.270625,9.465625,10.0875,10.39375,9.718125,10.064375,4.47
1132,9.819375,9.80125,9.955,10.288125,10.3825,9.75375,4.71
1175,9.581875,9.990625,9.99375,10.523125,10.37625,9.534375,4.73
1219,9.8375,9.70125,9.89125,10.718125,10.318125,9.53375,4.45
1263,9.391875,9.796875,10.2925,10.75875,10.6325,9.1275,4.64
1303,9.03625,9.706875,10.670625,10.649375,10.403125,9.53375,4.54
1344,9.12625,9.491875,10.468125,10.46875,10.508125,9.936875,4.97
