Episodes,B3,B2,Sellers,B1,episode_len
48,10.16796875,10.178385416666666,29.591145833333332,10.0625,4.166666666666667
91,10.274725274725276,10.20467032967033,29.145604395604394,10.375,4.362637362637362
135,10.83875,10.569375,27.566875,11.025,4.5
178,10.548125,10.516875,28.4625,10.4725,4.79
229,10.220625,10.96625,29.0875,9.725625,4.24
274,10.125625,10.841875,28.954375,10.078125,4.21
314,10.2825,10.20375,29.06875,10.445,4.66
360,10.461875,10.2375,28.395,10.905625,4.65
401,10.4125,9.86125,29.059375,10.666875,4.66
447,10.228125,10.0375,29.706875,10.0275,4.51
496,9.808125,10.025,30.18375,9.983125,4.25
543,10.3,10.015,29.71,9.975,4.08
583,10.240625,10.056875,29.630625,10.071875,4.58
625,10.20125,10.54625,29.231875,10.020625,4.81
672,10.2325,11.103125,28.345625,10.31875,4.53
719,10.656875,11.174375,27.625,10.54375,4.27
766,10.615625,10.801875,28.26,10.3225,4.27
804,10.65375,10.45875,29.06125,9.82625,4.73
852,10.706875,9.55875,29.580625,10.15375,4.62
900,10.265,10.053125,29.44125,10.240625,4.26
939,9.86,10.959375,29.105,10.075625,4.5
981,9.7525,11.093125,29.28125,9.873125,4.75
1026,9.92375,10.8175,28.945625,10.313125,4.61
1070,10.348125,10.559375,28.655625,10.436875,4.53
1110,10.609375,10.46875,28.63375,10.288125,4.73
1152,10.649375,10.768125,27.7625,10.82,4.73
1197,10.509375,10.911875,27.805,10.77375,4.64
1243,10.459375,10.700625,27.585625,11.254375,4.42
1287,10.950625,10.525625,27.7075,10.81625,4.48
1327,10.429375,10.431875,28.15625,10.9825,4.89
1374,10.69125,10.468125,27.6625,11.178125,4.55
1419,10.95,10.81375,27.72625,10.51,4.47
1456,11.288125,10.61125,27.933125,10.1675,4.82
1505,11.204375,10.64375,28.02125,10.130625,4.53
1543,11.015625,11.285,27.953125,9.74625,4.8
1584,11.025,11.24625,27.746875,9.981875,4.85
1618,10.743125,10.7575,28.37625,10.123125,5.36
1654,11.150625,11.003125,27.121875,10.724375,5.35
1694,10.2675,11.8975,27.011875,10.823125,5.14
1732,10.71125,12.181875,26.508125,10.59875,5.29
1770,10.759375,11.835625,26.773125,10.631875,5.31
1809,11.243125,11.513125,26.604375,10.639375,5.33
1847,11.18875,10.97875,27.138125,10.694375,5.12
1880,10.889375,10.80875,27.51875,10.783125,5.48
1920,11.20125,11.54875,26.71875,10.53125,5.45
1956,11.254375,11.78625,26.095625,10.86375,5.38
1986,11.244375,11.77125,26.045625,10.93875,5.7
2022,11.263125,11.280625,26.28375,11.1725,5.87
2054,11.425625,11.409375,25.89,11.275,5.98
2087,11.764375,11.666875,25.55125,11.0175,5.9
2128,11.8725,11.70125,25.206875,11.219375,5.62
2163,11.584375,11.796875,25.58125,11.0375,5.46
2193,11.905625,12.27,24.205,11.619375,5.61
2225,11.959375,12.784375,23.44625,11.81,6.18
2263,12.126875,12.545,23.53625,11.791875,6.08
2295,12.158125,12.43625,23.475625,11.93,5.84
2331,12.353125,12.29375,23.49,11.863125,5.64
2366,12.29375,12.30625,23.30375,12.09625,5.82
2398,11.975,12.12375,24.060625,11.840625,5.77
2427,12.1,12.375,23.511875,12.013125,6.14
2465,12.25375,12.38,23.354375,12.011875,6.02
2507,12.094375,12.18,23.909375,11.81625,5.47
2543,11.96125,11.8625,24.38625,11.79,5.07
2572,11.740625,12.220625,24.500625,11.538125,5.61
2606,12.259375,12.580625,23.62875,11.53125,6.03
2644,12.210625,12.565,23.80125,11.423125,5.98
2679,12.343125,12.3825,23.3075,11.966875,5.62
2722,11.83375,12.198125,23.468125,12.5,4.98
2754,12.445625,12.670625,22.29125,12.5925,5.44
2787,12.50375,12.74875,22.424375,12.323125,5.63
2818,12.6,12.814375,22.500625,12.085,6.06
2853,12.805625,12.500625,22.589375,12.104375,6.02
2892,12.85375,12.564375,22.331875,12.25,5.75
2931,12.895,13.06875,21.80625,12.23,5.22
2965,12.936875,12.74625,22.271875,12.045,5.27
3005,12.690625,12.053125,22.88625,12.37,5.36
3038,12.561875,12.2725,22.70125,12.464375,5.49
3065,12.173125,12.39,22.95625,12.480625,5.98
3091,12.6525,13.10125,21.648125,12.598125,6.72
3122,12.458125,13.12125,22.1625,12.258125,6.91
3154,12.86125,13.441875,21.27875,12.418125,6.87
3182,12.72875,13.5675,21.36,12.34375,6.68
3216,12.735,14.02625,20.72,12.51875,6.47
3246,12.36875,13.81375,21.34375,12.47375,6.62
3276,12.256875,13.94625,21.206875,12.59,6.46
3308,12.374375,13.995,21.176875,12.45375,6.57
3337,12.649375,13.781875,21.179375,12.389375,6.63
3366,12.731875,13.8925,20.925625,12.45,6.63
3396,12.614375,13.814375,21.798125,11.773125,6.69
3426,12.600625,13.851875,21.421875,12.125625,6.96
3448,12.646875,14.066875,21.184375,12.101875,7.03
3477,12.830625,14.0275,20.77375,12.368125,7.0
3508,13.511875,13.901875,19.720625,12.865625,7.2
3536,13.299375,14.071875,19.46,13.16875,7.12
3566,13.355,14.5175,19.001875,13.125625,7.02
3600,13.52625,14.489375,18.399375,13.585,6.57
3625,13.351875,14.456875,18.695,13.29625,6.92
3653,13.193125,14.50875,18.690625,13.4075,6.93
3676,13.13,14.0225,19.00875,13.43875,7.46
3706,13.193125,14.1075,19.00125,13.298125,7.72
3731,13.428125,13.934375,18.85125,13.58625,7.61
3759,13.39375,13.865,19.280625,13.260625,7.53
3785,13.50875,13.965625,19.03375,13.491875,7.3
3811,13.646875,14.15625,18.72375,13.473125,7.36
3840,13.235,14.319375,18.75375,13.691875,7.32
3865,13.575625,14.430625,18.128125,13.865625,7.33
3890,13.574375,14.25875,18.171875,13.795,7.67
3916,13.35875,14.328125,18.38375,13.729375,7.46
3936,13.58125,14.4975,18.115625,13.605625,8.15
3962,13.469375,14.35375,18.34,13.636875,8.29
3989,13.20125,14.479375,18.351875,13.9675,7.98
4012,13.226875,14.436875,18.243125,13.893125,8.44
4041,13.325,14.383125,18.101875,13.99,7.66
4063,13.23375,14.433125,18.0475,14.085625,7.75
4086,13.444375,14.73125,17.5225,14.101875,8.17
4103,13.743125,14.613125,17.266875,14.176875,8.72
4126,13.619375,14.756875,16.8325,14.39125,8.86
4152,13.51,14.855625,16.61625,14.618125,8.89
4170,13.7575,14.658125,16.665625,14.51875,9.37
4190,13.67125,14.589375,16.81125,14.528125,9.35
4213,13.518125,14.729375,17.269375,14.083125,9.3
4235,13.69,14.736875,16.899375,14.47375,9.44
4255,13.72125,14.671875,17.254375,14.1525,9.54
4274,13.430625,14.74,17.086875,14.3425,9.56
4298,13.545,14.591875,17.145625,14.3175,9.3
4320,13.624375,14.403125,17.00625,14.56625,9.28
4341,13.535625,14.406875,17.098125,14.359375,9.49
4359,13.535,14.556875,16.805625,14.3025,9.68
4384,13.373125,14.5725,17.0425,14.611875,9.05
4399,13.516875,14.55375,16.8925,14.236875,9.97
4423,13.57875,14.78625,16.370625,14.464375,9.7
4445,13.49625,14.788125,16.488125,14.6275,9.55
4460,13.65125,14.696875,16.27375,14.578125,9.89
4480,13.639375,14.80875,16.113125,14.43875,10.21
4499,13.619375,14.955,15.84625,14.979375,9.98
4514,13.583125,14.85,15.795625,14.97125,10.37
4535,13.53125,14.695,15.985625,14.788125,11.06
