Episodes,B3,B2,Sellers,B1,episode_len
48,9.979166666666666,11.057291666666666,28.424479166666668,10.5390625,4.166666666666667
85,9.803676470588234,10.725735294117648,29.23014705882353,10.240441176470588,4.705882352941177
125,9.87875,10.01875,30.124375,9.978125,4.95
167,10.033125,9.51,30.48125,9.975625,4.89
214,10.23125,9.591875,30.0875,10.089375,4.42
265,10.520625,10.536875,29.09,9.8525,4.09
314,10.834375,10.808125,28.126875,10.230625,4.05
357,10.5825,10.798125,28.095,10.524375,4.3
403,9.956875,10.93625,28.456875,10.65,4.5
443,10.080625,10.873125,28.406875,10.639375,4.76
492,10.088125,10.6475,29.065,10.199375,4.51
541,10.21,10.5175,28.944375,10.328125,4.12
586,10.28125,10.743125,28.32875,10.646875,4.19
633,10.143125,10.548125,28.78,10.52875,4.21
678,10.00875,10.159375,29.429375,10.4025,4.37
723,10.068125,9.98125,29.35,10.600625,4.51
766,10.288125,10.2775,28.613125,10.82125,4.7
810,10.03125,10.685625,28.3175,10.965625,4.45
849,9.900625,10.4675,28.84125,10.790625,4.72
889,9.74125,10.700625,28.770625,10.7875,5.02
932,9.88125,9.98625,29.55875,10.57375,4.74
982,9.731875,9.32375,30.445625,10.49875,4.25
1023,10.035625,9.9775,29.245,10.741875,4.32
1066,10.60125,10.2225,28.41875,10.7575,4.59
1114,10.133125,10.1775,29.493125,10.19625,4.38
1152,9.844375,9.63375,30.214375,10.3075,4.68
1197,10.321875,10.2275,29.0525,10.398125,4.71
1238,10.97625,10.59125,27.86375,10.56875,4.7
1283,11.146875,10.51125,27.819375,10.5225,4.59
1328,10.366875,10.645,28.129375,10.85875,4.37
1365,10.486875,10.43,28.2275,10.855625,4.78
1401,10.55875,10.97625,27.14375,11.32125,5.18
1442,10.811875,11.13625,26.95,11.101875,5.16
1480,10.794375,11.10375,26.998125,11.10375,5.14
1524,11.10375,11.051875,26.534375,11.31,5.07
1565,10.8425,10.57375,27.011875,11.571875,4.64
1608,10.21375,10.498125,27.91875,11.369375,4.83
1652,10.1925,10.850625,27.665625,11.29125,4.64
1692,10.235,11.425625,27.0575,11.281875,4.75
1734,10.093125,11.586875,27.411875,10.908125,4.86
1774,10.10625,10.99,27.32875,11.575,4.97
1819,10.52625,10.7625,26.695,12.01625,4.6
1857,11.079375,10.894375,26.705,11.32125,4.92
1899,10.819375,11.438125,26.809375,10.933125,4.67
1937,10.45375,11.72125,26.346875,11.478125,4.77
1980,10.304375,12.0275,26.088125,11.58,4.91
2017,10.345,11.775,26.37375,11.50625,5.04
2057,10.1775,11.815,26.55125,11.45625,5.01
2093,10.114375,11.21375,27.22875,11.443125,5.59
2132,10.613125,10.9125,27.08875,11.385625,5.32
2166,11.09875,10.819375,26.559375,11.5225,5.54
2204,10.949375,11.26875,26.126875,11.655,5.46
2235,11.085,11.91625,25.0375,11.96125,5.81
2270,10.94125,12.226875,25.194375,11.6375,5.69
2302,11.234375,12.496875,24.321875,11.946875,6.0
2343,10.82,12.37375,24.875625,11.930625,5.54
2372,11.24,12.29,24.49875,11.97125,5.93
2407,11.18625,12.309375,24.684375,11.82,5.57
2445,11.25125,12.03,24.591875,12.126875,5.83
2473,11.304375,11.97625,24.604375,12.115,5.93
2510,11.89625,12.148125,23.84,12.115625,5.87
2544,11.935625,12.17625,23.913125,11.975,6.07
2582,11.95625,12.305,23.765625,11.973125,5.44
2610,11.503125,12.1925,24.43875,11.865625,5.96
2642,11.705,12.226875,24.04875,12.019375,6.09
2674,11.72625,12.51625,23.705,12.0525,6.47
2711,11.504375,12.34625,24.295,11.854375,5.87
2738,11.673125,12.56625,23.998125,11.7625,6.2
2770,11.5925,12.85625,23.58625,11.965,6.31
2800,11.59375,12.53625,23.8325,12.0375,6.64
2826,11.496875,12.593125,23.779375,12.130625,6.97
2851,11.334375,12.250625,24.298125,12.116875,7.29
2881,11.165625,12.695,23.790625,12.34875,7.22
2918,11.015,12.965625,23.68125,12.338125,6.53
2943,11.2975,13.1575,22.995625,12.549375,6.71
2969,11.456875,13.11625,22.96625,12.460625,6.92
2998,11.76125,13.540625,21.8325,12.865625,6.99
3022,11.789375,13.621875,21.34625,13.2425,7.6
3049,11.61375,13.484375,21.6625,13.239375,7.64
3076,12.14375,13.245,21.456875,13.154375,7.36
3102,12.385,13.1975,21.2425,12.975,7.64
3130,12.435,13.275625,21.325,12.764375,7.45
3158,12.534375,13.78375,20.90875,12.573125,7.28
3187,12.220625,14.170625,21.02125,12.5875,7.02
3214,11.81,13.954375,21.795625,12.44,7.13
3243,11.9175,14.069375,20.974375,13.03875,6.89
3266,11.98375,13.746875,21.316875,12.9525,7.35
3291,12.0175,13.80875,21.28375,12.89,7.75
3322,12.334375,13.788125,21.019375,12.858125,7.1
3346,12.561875,13.679375,21.29125,12.4675,7.81
3371,12.459375,13.824375,21.180625,12.535625,7.62
3396,12.404375,14.05875,20.679375,12.8575,7.42
3425,12.0025,14.275625,20.5625,13.159375,7.64
3455,11.643125,14.406875,20.913125,13.036875,7.25
3480,11.86625,13.745625,21.590625,12.7975,7.1
3506,12.276875,13.7075,20.900625,13.115,7.38
3528,12.39,13.9675,20.921875,12.720625,7.74
3551,12.7525,14.0275,20.156875,13.063125,8.19
3573,12.47375,14.3125,19.885,13.32875,8.69
3594,12.819375,14.46625,19.59,13.124375,8.9
3616,12.723125,14.675,19.465625,13.13625,8.91
3640,12.346875,14.803125,19.818125,13.031875,8.99
3656,12.6875,14.8125,19.4525,13.0475,9.43
3678,13.025,14.8925,19.055625,13.026875,9.54
3696,12.464375,15.01375,19.344375,12.9775,9.9
3719,12.59,15.18625,19.05875,12.965,9.55
3737,12.931875,15.346875,18.5025,13.01875,10.13
3752,12.9125,15.505,18.385625,12.996875,10.72
3767,12.860625,15.6175,18.22125,13.100625,10.91
3785,12.7,15.635625,18.02875,13.235625,10.98
3805,13.048125,15.54125,17.633125,13.3775,11.22
3822,13.083125,15.35875,17.36625,13.591875,11.43
3839,12.734375,15.340625,17.5725,13.3525,11.74
3859,12.79875,15.315,17.594375,13.291875,11.12
3876,13.155625,15.23625,17.23625,13.571875,10.96
3890,13.350625,15.378125,16.88875,13.5825,11.63
3909,13.414375,15.32125,17.106875,13.5575,11.18
3927,13.5775,15.35,16.96375,13.50875,11.28
3944,13.50625,15.33,16.959375,13.604375,11.43
3958,13.5075,15.07625,16.710625,13.905625,12.1
3974,13.349375,15.244375,16.57375,13.8325,12.45
3994,13.36875,15.2925,16.4375,13.90125,11.64
4009,13.369375,15.464375,16.19,13.97625,12.17
4026,13.495625,15.464375,16.23375,14.00625,12.01
4044,13.788125,15.4875,16.10625,14.018125,11.99
4060,13.634375,15.60375,16.06875,14.093125,11.6
4077,13.875625,15.4675,16.31625,14.140625,11.44
4096,13.83,15.49375,16.0275,14.24875,11.44
4115,14.053125,15.46375,15.71625,14.366875,11.14
4132,13.8275,15.54875,15.5125,14.71125,11.42
4148,13.858125,15.47,15.836875,14.435,11.4
4163,13.984375,15.494375,15.805625,14.315625,11.66
4182,13.760625,15.491875,15.934375,14.213125,11.48
4201,13.975,15.420625,16.063125,14.14125,11.27
4218,14.07625,15.42375,15.985625,13.914375,11.5
4237,14.136875,15.380625,16.19375,13.68875,11.35
4253,14.135,15.3425,16.431875,13.690625,11.25
4272,14.116875,15.39125,16.4525,13.639375,11.07
4283,14.09625,15.399375,16.095,13.809375,11.84
4296,13.945625,15.519375,15.96875,13.76625,12.56
4314,13.793125,15.469375,15.904375,14.033125,12.54
4331,13.763125,15.38375,15.70875,14.144375,12.55
4349,13.83125,15.460625,15.444375,14.26375,12.52
4361,14.12,15.475625,15.2175,14.186875,13.22
4377,14.2825,15.51875,14.85875,14.34,13.15
4396,14.30875,15.62625,15.09125,14.37375,12.07
4411,14.361875,15.63875,15.284375,14.315,12.19
4424,14.16625,15.72125,15.35,14.1625,12.94
4436,13.97375,15.790625,15.445,14.190625,13.56
4448,13.84625,15.9125,15.77125,13.87,14.16
4465,13.4825,15.85875,16.06125,13.7975,13.49
4477,13.496875,15.859375,16.146875,13.696875,13.93
4491,13.6425,15.860625,15.80625,13.490625,14.57
4507,13.783125,15.798125,15.614375,13.604375,14.48
4522,13.894375,15.67125,15.66,13.774375,14.08
4533,13.834375,15.728125,15.54875,13.48875,14.66
4549,13.89375,15.621875,14.969375,13.915,13.79
4566,13.969375,15.73125,14.76375,14.135625,13.89
4580,14.12875,15.326875,14.903125,13.84125,13.72
4593,13.981875,15.378125,15.256875,13.983125,13.71
4615,13.78625,15.46375,15.10875,14.24125,13.04
4629,13.701875,15.445625,15.34625,14.30625,12.81
4642,13.98375,15.5375,15.286875,14.191875,12.89
4659,13.9875,15.73875,15.181875,14.291875,13.0
4675,13.76375,15.816875,15.305625,14.51375,12.76
4689,13.68,16.03,15.273125,14.416875,12.65
4704,13.631875,16.065,15.381875,14.32125,12.84
4721,13.575625,16.0725,15.509375,14.2425,12.93
4736,13.800625,16.041875,15.073125,14.284375,13.15
4752,13.6325,16.001875,15.415625,14.15,12.96
4767,13.82375,15.933125,15.570625,14.0725,13.14
4779,14.046875,15.693125,15.439375,14.220625,13.55
4791,13.9025,15.703125,15.594375,14.2,13.81
4805,13.9825,15.689375,15.345,13.983125,13.89
4820,13.9475,15.464375,15.535625,13.8525,13.99
4835,13.99125,15.321875,15.4225,13.864375,14.27
4851,14.08625,15.325,15.2775,13.91125,14.22
4871,14.013125,15.51875,15.280625,13.9875,13.36
4890,14.130625,15.445,15.180625,14.04375,12.19
4902,14.171875,15.57125,14.901875,13.955,12.67
4918,14.184375,15.746875,15.07875,13.79,12.17
4936,13.880625,15.77125,15.45125,13.696875,11.82
4950,14.048125,15.459375,15.2725,13.62,12.09
4966,14.166875,15.436875,15.0025,13.59375,12.41
4977,14.135625,15.310625,14.936875,13.616875,13.49
