Episodes,B3,B2,Sellers,B1,episode_len
47,10.21409574468085,10.018617021276595,29.80186170212766,9.965425531914894,4.191489361702128
98,10.279336734693878,10.129464285714286,29.556122448979593,10.035076530612244,4.081632653061225
141,10.243125,10.040625,29.60625,10.11,4.23
190,10.171875,9.788125,29.585625,10.454375,4.31
236,10.0575,9.660625,29.94,10.341875,4.25
279,10.213125,9.66875,29.77875,10.339375,4.38
327,10.083125,9.635,30.5525,9.729375,4.39
369,10.095625,9.796875,30.706875,9.400625,4.36
411,9.875625,9.965625,30.584375,9.574375,4.77
456,10.21125,10.03875,30.116875,9.633125,4.48
499,9.963125,9.97125,30.21875,9.846875,4.58
538,9.898125,9.744375,29.913125,10.444375,4.92
588,10.168125,10.195,28.640625,10.99625,4.57
635,9.64125,10.340625,29.733125,10.285,4.12
673,9.3925,10.625625,30.195,9.786875,4.46
717,10.0225,10.74125,29.26625,9.97,4.86
762,10.55625,10.09625,29.36125,9.98625,4.72
811,10.934375,9.99125,28.540625,10.53375,4.3
861,10.30125,10.123125,29.30875,10.266875,4.04
906,9.603125,9.789375,30.4,10.2075,4.25
945,9.566875,9.570625,30.418125,10.444375,4.66
986,10.2425,9.913125,29.555625,10.28875,4.83
1027,10.713125,10.535625,28.501875,10.249375,5.0
1068,9.88125,10.56,29.23875,10.32,4.82
1113,9.960625,10.11,30.098125,9.83125,4.85
1151,10.3625,10.03375,29.998125,9.605625,4.73
1198,10.635625,10.126875,29.185,10.0525,4.66
1235,10.76375,10.074375,28.83375,10.328125,4.78
1276,10.45125,9.941875,29.490625,10.11625,4.92
1321,10.495625,10.020625,29.568125,9.915625,4.84
1356,10.06875,10.164375,29.56,10.206875,4.78
1398,10.179375,10.185,29.229375,10.40625,4.91
1446,10.568125,10.00125,29.2475,10.183125,4.44
1487,10.596875,9.789375,30.058125,9.555625,4.69
1528,10.66125,10.555625,29.1225,9.660625,4.73
1575,10.7025,10.52875,28.83,9.93875,4.65
1627,10.5775,10.294375,29.101875,10.02625,4.08
1666,10.3325,10.810625,28.740625,10.11625,4.42
1707,10.264375,10.735,28.80375,10.196875,4.76
1745,10.5625,10.594375,29.039375,9.80375,5.1
1785,10.868125,10.49875,28.64,9.993125,5.04
1834,10.774375,10.55375,28.966875,9.705,4.59
1873,10.993125,10.779375,28.28375,9.94375,4.66
1911,10.873125,11.090625,27.93125,10.105,4.78
1955,10.7875,11.330625,27.225,10.656875,4.84
1989,10.540625,10.860625,27.713125,10.885625,5.14
2024,10.305625,10.685625,28.299375,10.709375,5.29
2062,9.80875,10.433125,29.29,10.468125,5.75
2102,10.403125,10.735,28.44,10.421875,5.12
2143,10.474375,11.425625,27.679375,10.420625,4.9
2178,10.5675,11.456875,27.72625,10.249375,5.44
2222,10.519375,10.716875,28.458125,10.305625,5.02
2252,10.20375,10.73,28.489375,10.576875,5.39
2286,10.388125,11.089375,27.766875,10.755625,5.66
2314,10.685,12.01,26.136875,11.168125,6.36
2352,11.148125,11.83625,25.981875,11.03375,5.97
2386,11.280625,11.246875,26.095625,11.376875,6.1
2424,11.0525,10.89875,27.124375,10.924375,5.52
2458,10.675625,11.078125,27.356875,10.889375,5.43
2497,10.61125,11.769375,27.243125,10.37625,5.47
2532,11.1925,11.79,26.428125,10.589375,5.48
2563,11.501875,11.415625,26.8675,10.215,5.59
