Episodes,B3,B2,Sellers,B1,episode_len
44,10.505681818181818,9.899147727272727,30.298295454545453,9.296875,4.409090909090909
89,10.70435393258427,9.745786516853933,29.787219101123597,9.762640449438202,4.426966292134831
135,10.2425,10.134375,29.68875,9.934375,4.33
185,10.045,10.3175,29.899375,9.738125,4.22
228,10.704375,9.95,29.45625,9.889375,4.34
268,10.949375,10.078125,28.966875,10.005625,4.6
315,10.635,10.45,28.73125,10.18375,4.67
354,10.4125,10.308125,29.378125,9.90125,4.74
396,10.431875,10.219375,29.290625,10.058125,4.59
438,10.15375,9.86375,30.175625,9.806875,4.99
481,10.4975,9.958125,29.47875,10.065625,4.79
529,10.54625,9.88,29.1375,10.43625,4.35
578,10.8725,9.620625,29.45,10.056875,4.19
623,10.8625,9.976875,29.675,9.485625,4.24
662,10.786875,10.070625,29.779375,9.363125,4.67
704,10.856875,10.73375,28.455,9.954375,4.88
751,10.346875,10.48625,28.75,10.416875,4.64
796,10.625,10.171875,28.97875,10.224375,4.28
834,10.463125,9.9775,29.255625,10.30375,4.59
882,10.36375,9.92875,28.90625,10.80125,4.69
928,10.625,10.45375,28.38625,10.535,4.33
972,10.984375,10.580625,27.76,10.675,4.27
1012,10.810625,10.195625,28.435,10.55875,4.7
1058,10.791875,10.43625,28.39125,10.380625,4.71
1098,10.834375,10.5075,28.00375,10.654375,4.53
1141,10.84875,9.851875,28.919375,10.38,4.66
1182,11.2175,9.498125,28.998125,10.28625,4.7
1230,11.0375,9.8375,28.835,10.29,4.48
1275,10.8825,10.27,28.905625,9.941875,4.47
1315,10.820625,10.328125,28.950625,9.900625,4.74
1355,11.316875,10.168125,28.22125,10.29375,4.74
1387,11.084375,10.171875,28.116875,10.626875,5.47
1429,11.041875,10.333125,27.75375,10.87125,5.35
1471,10.79,10.4475,28.5075,10.255,5.13
1506,11.01125,10.448125,28.01875,10.521875,4.98
1548,11.453125,10.231875,27.5925,10.7225,5.03
1585,11.405,10.314375,27.6,10.680625,5.13
1626,11.44,10.660625,27.036875,10.8625,5.16
1664,11.78375,10.941875,25.823125,11.45125,5.34
1699,11.5375,10.801875,26.2325,11.428125,5.48
1738,11.68375,11.048125,26.048125,11.22,5.38
1765,11.249375,10.544375,27.500625,10.705625,5.89
1803,11.004375,10.64,27.899375,10.45625,5.72
1848,11.280625,10.88375,27.221875,10.61375,5.29
1886,11.774375,11.2325,26.176875,10.81625,4.91
1919,11.9625,11.375,25.68625,10.97625,5.24
1962,12.186875,11.055625,25.814375,10.943125,5.42
2002,12.148125,10.461875,25.99,11.4,5.08
2038,11.713125,10.406875,26.883125,10.996875,5.1
2078,11.521875,10.63,27.19,10.658125,5.08
2119,11.680625,11.036875,26.661875,10.620625,5.17
2161,11.81875,11.135,26.120625,10.925625,4.75
2197,11.869375,10.826875,26.101875,11.201875,5.17
2233,11.684375,10.840625,26.161875,11.313125,5.25
2267,11.60375,10.71375,26.66375,11.01875,5.69
2299,11.890625,10.721875,26.5,10.8875,5.78
2339,11.705,11.021875,26.496875,10.77625,5.67
2375,11.668125,11.083125,26.421875,10.826875,5.54
2409,11.801875,11.016875,26.174375,11.006875,5.47
2445,12.366875,11.013125,25.3875,11.2325,5.62
2486,12.93,11.136875,24.6,11.333125,5.42
2518,12.343125,11.13875,25.498125,11.02,5.41
2564,12.501875,11.001875,25.679375,10.816875,5.0
2597,12.3025,11.459375,25.00625,11.231875,5.39
2634,12.366875,11.604375,24.4525,11.57625,5.17
2667,12.19875,11.508125,24.53,11.763125,5.83
2705,12.581875,11.0075,24.64,11.770625,5.55
2740,12.67875,11.59625,23.858125,11.866875,5.65
2776,12.800625,11.926875,23.556875,11.715625,5.41
2810,12.974375,11.94,23.485625,11.6,5.53
2844,12.889375,11.734375,23.818125,11.558125,5.71
2885,13.07,11.680625,23.651875,11.5975,5.54
2920,12.875,11.641875,23.76875,11.714375,5.36
2949,12.918125,11.384375,23.866875,11.830625,5.8
2984,12.734375,11.326875,24.363125,11.575625,6.04
3013,12.93,11.55625,23.694375,11.819375,6.38
3048,12.88625,11.48,24.201875,11.431875,6.11
3083,12.751875,11.545625,23.7425,11.96,6.03
3119,12.579375,12.04875,23.1375,12.234375,5.56
3155,12.93,12.48875,22.4975,12.08375,5.66
3183,12.929375,12.171875,22.74,12.15875,6.01
3216,13.33,12.25625,22.288125,12.125625,6.08
3244,13.275,12.07625,22.236875,12.411875,6.67
3275,13.531875,12.1175,22.095,12.255625,6.59
3302,13.284375,11.935,22.804375,11.97625,6.67
3329,12.815625,12.155,22.939375,12.09,7.07
3361,13.0825,12.011875,22.7,12.205625,6.93
3391,13.2125,11.863125,22.64,12.284375,7.09
3421,13.37625,11.90875,22.733125,11.981875,6.53
3455,13.438125,12.156875,22.458125,11.946875,6.5
3483,13.396875,12.110625,22.423125,12.069375,6.39
3513,13.690625,12.290625,21.26375,12.755,6.69
3538,13.93625,12.3475,20.76875,12.9475,6.8
3564,13.9725,12.555625,20.5875,12.884375,7.08
3595,13.7075,12.620625,20.688125,12.98375,7.04
3618,13.63125,13.02125,20.448125,12.899375,7.61
3646,13.818125,13.106875,20.38625,12.68875,7.5
3670,13.499375,12.774375,20.94625,12.78,7.57
3690,13.5675,12.939375,20.718125,12.775,8.41
3719,13.249375,12.629375,21.435,12.68625,7.97
3740,12.98625,12.523125,21.485,13.005625,8.18
3767,13.36375,12.55875,20.754375,13.123125,8.13
3796,13.475,12.6325,20.471875,13.220625,7.6
3825,13.690625,12.53875,20.035625,13.535,7.57
3848,13.733125,12.74875,20.283125,13.235,7.48
3868,13.60125,12.75625,20.20125,13.24125,7.88
3890,13.6475,12.960625,19.900625,13.29125,8.31
3920,13.56125,13.0525,20.286875,12.899375,8.38
3941,13.583125,13.161875,20.20875,12.84625,8.48
3963,13.640625,13.20875,20.120625,12.83,8.83
3990,13.88,13.081875,19.969375,13.06875,8.01
4017,13.665,13.07,20.0675,13.1975,8.18
4040,13.75125,13.0025,19.82625,13.42,8.13
4061,13.59875,13.04875,19.846875,13.505625,8.19
4085,13.546875,13.07625,19.85375,13.523125,8.29
4104,13.716875,12.97625,19.96125,13.345625,8.86
4127,13.796875,12.955,20.125625,13.1225,9.03
4147,13.63125,12.90125,20.27125,13.19625,9.09
4167,13.910625,12.78,20.334375,12.975,9.39
4189,13.904375,12.67125,20.25625,13.168125,9.56
4214,13.9475,12.644375,19.639375,13.56875,9.27
4235,14.058125,12.843125,19.40125,13.4975,9.27
4259,13.985,12.79875,19.623125,13.393125,8.63
4279,13.914375,12.6775,19.985625,13.2225,9.22
4301,13.5175,13.034375,20.540625,12.9075,9.07
4324,13.5575,13.023125,20.660625,12.75875,8.99
4348,13.291875,12.88,20.71375,12.914375,9.03
4366,13.305,12.944375,20.625,12.725625,9.46
4388,13.531875,13.11875,20.040625,12.90875,8.99
4407,13.81875,12.91625,19.886875,12.978125,9.56
4430,13.7575,12.860625,19.854375,13.1275,9.48
4450,13.98875,13.183125,19.694375,12.93375,9.85
4470,13.86375,13.245,19.765625,13.125625,9.61
4487,13.726875,13.00625,20.121875,13.145,10.02
4508,13.428125,12.86625,20.583125,13.1225,9.95
4527,13.246875,13.093125,20.616875,13.043125,10.16
4548,13.319375,13.033125,20.4525,13.195,10.18
4567,13.44625,12.86,20.3625,13.33125,10.41
4585,13.346875,12.81125,20.550625,13.29125,10.48
